CodeInsee;CodeDepartement;pays;Commune;Macron PCT;MACRON;LE PEN;MÉLENCHON;MACRON;exp;LE PEN;exp;MÉLENCHON;exp
73084;73;France;Chignin;30;19891501;167;124;93;30;19891501;22;42314647;16;81735986
73085;73;France;Chindrieux;27;92792793;248;201;139;27;92792793;22;63513514;15;65315315
73086;73;France;Cléry;16;61129568;50;76;71;16;61129568;25;24916944;23;58803987
73087;73;France;Cognin;24;57780458;815;668;899;24;57780458;20;14475271;27;11097708
73088;73;France;Cohennoz;31;74603175;40;31;10;31;74603175;24;6031746;7;936507937
73089;73;France;Coise-Saint-Jean-Pied-Gauthier;22;86874154;169;184;145;22;86874154;24;8985115;19;62110961
73090;73;France;La Compôte;14;94252874;26;40;41;14;94252874;22;98850575;23;56321839
73091;73;France;Conjux;31;12582781;47;31;19;31;12582781;20;52980132;12;58278146
73092;73;France;Corbel;24;26470588;33;36;24;24;26470588;26;47058824;17;64705882
73094;73;France;Crest-Voland;33;67003367;100;64;25;33;67003367;21;54882155;8;417508418
73095;73;France;La Croix-de-la-Rochette;25;21367521;59;67;38;25;21367521;28;63247863;16;23931624
73096;73;France;Cruet;21;89781022;150;154;149;21;89781022;22;48175182;21;75182482
73097;73;France;Curienne;22;15053763;103;100;123;22;15053763;21;50537634;26;4516129
73098;73;France;Les Déserts;22;16981132;141;155;154;22;16981132;24;37106918;24;21383648
73099;73;France;Détrier;26;33744856;64;67;49;26;33744856;27;57201646;20;16460905
73100;73;France;Domessin;27;39383847;329;325;196;27;39383847;27;06078268;16;31973356
73101;73;France;Doucy-en-Bauges;28;35820896;19;9;16;28;35820896;13;43283582;23;88059701
73103;73;France;Drumettaz-Clarafond;31;02702703;574;402;314;31;02702703;21;72972973;16;97297297
73104;73;France;Dullin;21;19205298;64;70;71;21;19205298;23;17880795;23;50993377
73105;73;France;Les Échelles;17;64705882;111;206;117;17;64705882;32;75039746;18;6009539
73106;73;France;École;25;96685083;47;45;35;25;96685083;24;86187845;19;33701657
73107;73;France;Entremont-le-Vieux;27;02702703;120;76;105;27;02702703;17;11711712;23;64864865
73109;73;France;Épierre;20;91954023;91;155;67;20;91954023;35;63218391;15;40229885
73110;73;France;Esserts-Blay;17;23404255;81;154;93;17;23404255;32;76595745;19;78723404
73113;73;France;Feissons-sur-Salins;19;82758621;23;24;35;19;82758621;20;68965517;30;17241379
73114;73;France;Flumet;23;01425662;113;127;53;23;01425662;25;86558045;10;79429735
73116;73;France;Fontcouverte-la-Toussuire;28;0623608;126;129;55;28;0623608;28;73051225;12;24944321
73117;73;France;Fourneaux;24;15902141;79;88;71;24;15902141;26;91131498;21;71253823
73119;73;France;Freney;18;18181818;14;15;13;18;18181818;19;48051948;16;88311688
73120;73;France;Fréterive;24;62462462;82;90;43;24;62462462;27;02702703;12;91291291
73121;73;France;Frontenex;21;9938335;214;297;183;21;9938335;30;52415211;18;80781089
73122;73;France;Gerbaix;25;07739938;81;74;70;25;07739938;22;91021672;21;67182663
73123;73;France;La Giettaz;25;37313433;68;67;26;25;37313433;25;9;701492537
73124;73;France;Gilly-sur-Isère;25;48403977;487;459;309;25;48403977;24;0188383;16;16954474
73128;73;France;Grésy-sur-Aix;27;71353972;743;654;489;27;71353972;24;39388288;18;23946289
73129;73;France;Grésy-sur-Isère;19;02834008;141;242;134;19;02834008;32;6585695;18;08367072
73130;73;France;Grignon;19;20583468;237;449;221;19;20583468;36;38573744;17;90923825
73131;73;France;Hautecour;28;24074074;61;37;51;28;24074074;17;12962963;23;61111111
