CodeInsee;CodeDepartement;pays;Commune;Macron PCT;MACRON;LE PEN;MÉLENCHON;MACRON;exp;LE PEN;exp;MÉLENCHON;exp
74031;74;France;Beaumont;33;25123153;405;188;214;33;25123153;15;43513957;17;56978654
74032;74;France;Bellevaux;29;51496388;286;221;113;29;51496388;22;80701754;11;66150671
74033;74;France;Bernex;26;08213097;235;253;128;26;08213097;28;07991121;14;20643729
74034;74;France;Le Biot;25;16339869;77;70;52;25;16339869;22;87581699;16;99346405
74035;74;France;Bloye;29;97416021;116;117;48;29;97416021;30;23255814;12;40310078
74036;74;France;Bluffy;46;2633452;130;41;21;46;2633452;14;59074733;7;473309609
74037;74;France;Boëge;24;7311828;276;206;231;24;7311828;18;45878136;20;69892473
74038;74;France;Bogève;23;69791667;182;194;119;23;69791667;25;26041667;15;49479167
74040;74;France;Bonne;31;32947977;542;351;276;31;32947977;20;28901734;15;95375723
74041;74;France;Bonnevaux;20;27027027;30;47;26;20;27027027;31;75675676;17;56756757
74042;74;France;Bonneville;25;45164718;1437;1326;1390;25;45164718;23;48565356;24;61919943
74043;74;France;Bons-en-Chablais;27;71164021;838;694;527;27;71164021;22;94973545;17;42724868
74044;74;France;Bossey;41;21405751;129;38;54;41;21405751;12;14057508;17;25239617
74045;74;France;Le Bouchet-Mont-Charvin;24;5398773;40;41;33;24;5398773;25;15337423;20;24539877
74046;74;France;Boussy;26;38888889;95;95;57;26;38888889;26;38888889;15;83333333
74048;74;France;Brenthonne;28;39313573;182;157;123;28;39313573;24;49297972;19;18876755
74049;74;France;Brizon;24;92307692;81;101;39;24;92307692;31;07692308;12
74050;74;France;Burdignin;26;29310345;122;112;96;26;29310345;24;13793103;20;68965517
74051;74;France;Cercier;28;5326087;105;64;54;28;5326087;17;39130435;14;67391304
74052;74;France;Cernex;32;62295082;199;111;83;32;62295082;18;19672131;13;60655738
74053;74;France;Cervens;26;64714495;182;142;149;26;64714495;20;79062958;21;81551977
74054;74;France;Chainaz-les-Frasses;28;62903226;142;86;95;28;62903226;17;33870968;19;15322581
74055;74;France;Challonges;30;51359517;101;74;55;30;51359517;22;35649547;16;6163142
74056;74;France;Chamonix-Mont-Blanc;36;36010111;1870;672;1033;36;36010111;13;06630371;20;08555318
74057;74;France;Champanges;27;88461538;203;173;80;27;88461538;23;76373626;10;98901099
74058;74;France;La Chapelle-d'Abondance;29;1913215;148;143;42;29;1913215;28;20512821;8;284023669
74059;74;France;La Chapelle-Rambaud;22;36024845;36;49;24;22;36024845;30;43478261;14;9068323
74060;74;France;La Chapelle-Saint-Maurice;16;66666667;15;18;13;16;66666667;20;14;44444444
74061;74;France;Chapeiry;28;79045997;169;133;93;28;79045997;22;65758092;15;84327087
74062;74;France;Charvonnex;31;49882904;269;168;108;31;49882904;19;67213115;12;64637002
74063;74;France;Châtel;31;50134048;235;209;54;31;50134048;28;01608579;7;238605898
74064;74;France;Châtillon-sur-Cluses;26;43118149;217;203;128;26;43118149;24;72594397;15;590743
74065;74;France;Chaumont;28;25396825;89;56;56;28;25396825;17;77777778;17;77777778
74066;74;France;Chavannaz;25;73529412;35;26;23;25;73529412;19;11764706;16;91176471
74067;74;France;Chavanod;35;75931232;624;378;203;35;75931232;21;66189112;11;63323782
74068;74;France;Chêne-en-Semine;23;80952381;70;87;27;23;80952381;29;59183673;9;183673469
74069;74;France;Chênex;32;61455526;121;93;36;32;61455526;25;06738544;9;703504043
74070;74;France;Chens-sur-Léman;33;80530973;382;189;206;33;80530973;16;72566372;18;2300885
74071;74;France;Chessenaz;20;56737589;29;38;19;20;56737589;26;95035461;13;4751773
74072;74;France;Chevaline;30;08130081;37;26;16;30;08130081;21;13821138;13;00813008
74073;74;France;Chevenoz;13;5391924;57;164;49;13;5391924;38;95486936;11;63895487
74074;74;France;Chevrier;32;71375465;88;49;44;32;71375465;18;21561338;16;35687732
74075;74;France;Chilly;23;99103139;214;247;115;23;99103139;27;69058296;12;89237668
74076;74;France;Choisy;30;40152964;318;255;127;30;40152964;24;37858509;12;1414914
74077;74;France;Clarafond-Arcine;25;52447552;146;151;82;25;52447552;26;3986014;14;33566434
74078;74;France;Clermont;24;09638554;60;63;45;24;09638554;25;30120482;18;07228916
74079;74;France;Les Clefs;34;71264368;151;68;50;34;71264368;15;63218391;11;49425287
74080;74;France;La Clusaz;39;0328152;452;173;96;39;0328152;14;93955095;8;29015544
74081;74;France;Cluses;26;30594106;1687;1589;1438;26;30594106;24;7777951;22;42320287
74082;74;France;Collonges-sous-Salève;37;91530945;582;184;266;37;91530945;11;98697068;17;32899023
74083;74;France;Combloux;38;67047891;541;300;114;38;67047891;21;44388849;8;148677627
74085;74;France;Les Contamines-Montjoie;40;13761468;350;132;116;40;13761468;15;13761468;13;30275229
74086;74;France;Contamine-Sarzin;27;31707317;112;105;60;27;31707317;25;6097561;14;63414634
74087;74;France;Contamine-sur-Arve;31;55515371;349;249;158;31;55515371;22;51356239;14;28571429
74088;74;France;Copponex;31;92090395;226;127;117;31;92090395;17;93785311;16;52542373
74089;74;France;Cordon;34;70588235;236;164;56;34;70588235;24;11764706;8;235294118
74090;74;France;Cornier;27;91262136;230;223;119;27;91262136;27;0631068;14;44174757
74091;74;France;La Côte-d'Arbroz;35;22727273;62;24;27;35;22727273;13;63636364;15;34090909
74094;74;France;Cranves-Sales;31;60208849;1150;801;588;31;60208849;22;01154163;16;15828524
74095;74;France;Crempigny-Bonneguête;29;56989247;55;54;25;29;56989247;29;03225806;13;44086022
74096;74;France;Cruseilles;32;17953595;846;478;421;32;17953595;18;18181818;16;01369342
74097;74;France;Cusy;29;53974895;353;256;231;29;53974895;21;42259414;19;33054393
74098;74;France;Cuvat;39;3877551;386;155;121;39;3877551;15;81632653;12;34693878
74099;74;France;Demi-Quartier;40;242;129;32;40;21;32231405;5;289256198
74100;74;France;Desingy;24;8496994;124;143;80;24;8496994;28;65731463;16;03206413
74101;74;France;Dingy-en-Vuache;28;49604222;108;72;63;28;49604222;18;99736148;16;62269129
74102;74;France;Dingy-Saint-Clair;33;46814965;331;154;179;33;46814965;15;57128413;18;09908999
74103;74;France;Domancy;33;2081142;442;282;176;33;2081142;21;18707739;13;2231405
74104;74;France;Doussard;30;65529623;683;437;404;30;65529623;19;61400359;18;13285458
74105;74;France;Douvaine;30;54600993;800;637;431;30;54600993;24;3222604;16;45666285
74106;74;France;Draillant;25;46201232;124;114;84;25;46201232;23;40862423;17;24845996
74107;74;France;Droisy;22;77227723;23;31;10;22;77227723;30;69306931;9;900990099
74108;74;France;Duingt;33;28488372;229;114;122;33;28488372;16;56976744;17;73255814
74109;74;France;Éloise;26;36916836;130;138;78;26;36916836;27;99188641;15;82150101
74111;74;France;Entrevernes;40;66666667;61;29;16;40;66666667;19;33333333;10;66666667
74112;74;France;Epagny Metz-Tessy;36;69234061;1715;849;705;36;69234061;18;16431322;15;08344031
74114;74;France;Essert-Romand;28;08988764;75;52;39;28;08988764;19;47565543;14;60674157
74116;74;France;Etaux;30;44461191;404;309;192;30;44461191;23;28560663;14;46872645
74117;74;France;Étercy;27;7972028;159;139;88;27;7972028;24;3006993;15;38461538
74118;74;France;Étrembières;24;96532594;180;185;161;24;96532594;25;65880721;22;33009709
74119;74;France;Évian-les-Bains;32;73480663;1422;747;872;32;73480663;17;1961326;20;07366483
74121;74;France;Excenevex;30;88235294;210;135;113;30;88235294;19;85294118;16;61764706
74122;74;France;Faucigny;28;42105263;108;80;62;28;42105263;21;05263158;16;31578947
74123;74;France;Faverges-Seythenex;26;89095681;1127;1083;793;26;89095681;25;84108805;18;92149845
74124;74;France;Feigères;32;55295429;292;151;166;32;55295429;16;83389075;18;50613155
74126;74;France;Fessy;29;89377845;197;151;92;29;89377845;22;91350531;13;96054628
74127;74;France;Féternes;21;35193133;199;241;172;21;35193133;25;8583691;18;45493562
74128;74;France;Fillinges;28;67480778;634;525;359;28;67480778;23;7449118;16;23699683
74129;74;France;La Forclaz;35;17241379;51;43;16;35;17241379;29;65517241;11;03448276
74130;74;France;Franclens;24;57337884;72;98;44;24;57337884;33;44709898;15;01706485
74131;74;France;Frangy;27;59211654;322;317;185;27;59211654;27;16366752;15;85261354
74133;74;France;Gaillard;30;07846556;1035;559;1001;30;07846556;16;24527754;29;0903807
74134;74;France;Les Gets;39;70420933;349;159;79;39;70420933;18;0887372;8;987485779
74135;74;France;Giez;27;50642674;107;91;58;27;50642674;23;3933162;14;91002571
74136;74;France;Le Grand-Bornand;38;34394904;602;249;132;38;34394904;15;85987261;8;407643312
74137;74;France;Groisy;32;38015139;770;468;366;32;38015139;19;6804037;15;39108495
74138;74;France;Gruffy;31;28898129;301;157;220;31;28898129;16;32016632;22;86902287
74139;74;France;Habère-Lullin;26;5625;153;127;135;26;5625;22;04861111;23;4375
74140;74;France;Habère-Poche;26;06837607;244;221;164;26;06837607;23;61111111;17;52136752
74141;74;France;Hauteville-sur-Fier;25;03748126;167;192;93;25;03748126;28;7856072;13;94302849
74142;74;France;Héry-sur-Alby;27;7324633;170;139;90;27;7324633;22;67536705;14;68189233
74143;74;France;Les Houches;31;05784263;596;325;344;31;05784263;16;93590412;17;92600313
74144;74;France;Jonzier-Épagny;33;92857143;152;78;86;33;92857143;17;41071429;19;19642857
74145;74;France;Juvigny;35;31073446;125;65;56;35;31073446;18;36158192;15;81920904
74146;74;France;Larringes;31;86157518;267;213;133;31;86157518;25;4176611;15;87112172
74147;74;France;Lathuile;33;47280335;240;176;112;33;47280335;24;54672245;15;62064156
74148;74;France;Leschaux;24;10714286;54;49;49;24;10714286;21;875;21;875
74150;74;France;Loisin;30;91557669;260;189;140;30;91557669;22;47324614;16;64684899
74151;74;France;Lornay;17;37804878;57;107;64;17;37804878;32;62195122;19;51219512
74152;74;France;Lovagny;39;88304094;341;156;114;39;88304094;18;24561404;13;33333333
74153;74;France;Lucinges;33;13432836;333;170;155;33;13432836;16;91542289;15;42288557
74154;74;France;Lugrin;28;11614731;397;298;249;28;11614731;21;10481586;17;63456091
74155;74;France;Lullin;24;19659735;128;139;81;24;19659735;26;27599244;15;31190926
74156;74;France;Lully;31;5920398;127;111;47;31;5920398;27;6119403;11;69154229
74157;74;France;Lyaud;30;18867925;336;279;156;30;18867925;25;06738544;14;01617251
74158;74;France;Machilly;27;01812191;164;152;95;27;01812191;25;04118616;15;65074135
74159;74;France;Magland;23;77750611;389;583;199;23;77750611;35;63569682;12;16381418
74160;74;France;Manigod;28;75536481;201;158;76;28;75536481;22;6037196;10;87267525
74161;74;France;Marcellaz-Albanais;28;79818594;381;312;201;28;79818594;23;58276644;15;19274376
74162;74;France;Marcellaz;27;94612795;166;135;78;27;94612795;22;72727273;13;13131313
74163;74;France;Margencel;31;31991051;420;306;237;31;31991051;22;81879195;17;67337808
74164;74;France;Marignier;24;7706422;864;1031;554;24;7706422;29;55848624;15;88302752
74165;74;France;Marigny-Saint-Marcel;26;92307692;119;112;74;26;92307692;25;33936652;16;74208145
74166;74;France;Marin;27;87821123;293;205;197;27;87821123;19;50523311;18;74405328
74167;74;France;Val de Chaise;29;16188289;254;235;126;29;16188289;26;9804822;14;46613088
74168;74;France;Marlioz;30;74265976;178;117;81;30;74265976;20;20725389;13;98963731
74169;74;France;Marnaz;25;54325543;623;743;415;25;54325543;30;46330463;17;01517015
74170;74;France;Massingy;31;84466019;164;115;69;31;84466019;22;33009709;13;39805825
74171;74;France;Massongy;32;02380952;269;200;114;32;02380952;23;80952381;13;57142857
74172;74;France;Maxilly-sur-Léman;31;96448391;288;204;140;31;96448391;22;64150943;15;53829079
74173;74;France;Megève;36;86964795;775;408;138;36;86964795;19;41008563;6;565176023
74174;74;France;Mégevette;20;78947368;79;104;61;20;78947368;27;36842105;16;05263158
74175;74;France;Meillerie;24;16107383;36;43;31;24;16107383;28;8590604;20;80536913
74176;74;France;Menthon-Saint-Bernard;43;67541766;549;130;159;43;67541766;10;34208433;12;64916468
74177;74;France;Menthonnex-en-Bornes;23;99299475;137;138;86;23;99299475;24;16812609;15;06129597
74178;74;France;Menthonnex-sous-Clermont;21;41280353;97;144;76;21;41280353;31;78807947;16;77704194
74179;74;France;Mésigny;25;8979206;137;164;88;25;8979206;31;00189036;16;63516068
74180;74;France;Messery;36;7475292;409;153;177;36;7475292;13;74663073;15;90296496
74183;74;France;Mieussy;28;02267003;445;361;284;28;02267003;22;73299748;17;88413098
74184;74;France;Minzier;22;65917603;121;133;118;22;65917603;24;90636704;22;09737828
74185;74;France;Monnetier-Mornex;29;16666667;329;193;277;29;16666667;17;10992908;24;55673759
74186;74;France;Montagny-les-Lanches;28;92561983;140;75;106;28;92561983;15;49586777;21;90082645
74188;74;France;Montriond;38;37209302;198;96;54;38;37209302;18;60465116;10;46511628
74189;74;France;Mont-Saxonnex;23;50142721;247;267;207;23;50142721;25;40437678;19;69552807
74190;74;France;Morillon;29;41176471;140;101;101;29;41176471;21;21848739;21;21848739
74191;74;France;Morzine;43;63968351;717;271;165;43;63968351;16;49421789;10;04260499
74192;74;France;Moye;24;26470588;165;195;91;24;26470588;28;67647059;13;38235294
74193;74;France;La Muraz;22;32472325;121;143;106;22;32472325;26;38376384;19;55719557
74194;74;France;Mûres;32;08955224;172;109;88;32;08955224;20;3358209;16;41791045
74195;74;France;Musièges;28;24074074;61;44;28;28;24074074;20;37037037;12;96296296
74196;74;France;Nancy-sur-Cluses;26;4957265;93;90;51;26;4957265;25;64102564;14;52991453
74197;74;France;Nangy;27;40384615;228;191;166;27;40384615;22;95673077;19;95192308
74198;74;France;Nâves-Parmelan;35;07246377;242;103;118;35;07246377;14;92753623;17;10144928
74199;74;France;Nernier;46;90909091;129;23;28;46;90909091;8;363636364;10;18181818
74200;74;France;Neuvecelle;34;87752929;655;322;312;34;87752929;17;14589989;16;61341853
74201;74;France;Neydens;35;500516;344;150;136;35;500516;15;47987616;14;03508772
74202;74;France;Nonglard;30;97949886;136;105;57;30;97949886;23;91799544;12;98405467
74203;74;France;Novel;30;6122449;15;18;7;30;6122449;36;73469388;14;28571429
74205;74;France;Onnion;24;0893067;205;186;179;24;0893067;21;85663925;21;03407756
74206;74;France;Orcier;26;11940299;175;211;94;26;11940299;31;49253731;14;02985075
74208;74;France;Passy;25;22321429;1582;1431;1431;25;22321429;22;81568878;22;81568878
74209;74;France;Peillonnex;32;1299639;267;189;121;32;1299639;22;74368231;14;56077016
74210;74;France;Perrignier;26;28458498;266;261;152;26;28458498;25;79051383;15;01976285
74211;74;France;Pers-Jussy;26;89295039;515;515;308;26;89295039;26;89295039;16;08355091
74212;74;France;Glières-Val-de-Borne;19;70486111;227;324;191;19;70486111;28;125;16;57986111
74213;74;France;Poisy;35;77568563;1748;925;758;35;77568563;18;93164142;15;51371265
74215;74;France;Praz-sur-Arly;32;43589744;253;182;86;32;43589744;23;33333333;11;02564103
74216;74;France;Présilly;32;42258652;178;114;87;32;42258652;20;76502732;15;84699454
74218;74;France;Publier;29;84607357;1144;872;652;29;84607357;22;74980433;17;0101748
74219;74;France;Quintal;37;40740741;303;142;87;37;40740741;17;5308642;10;74074074
74220;74;France;Reignier-Ésery;29;7462406;1266;977;755;29;7462406;22;95582707;17;73966165
74221;74;France;Le Reposoir;29;94350282;106;57;53;29;94350282;16;10169492;14;97175141
74222;74;France;Reyvroz;25;73289902;79;98;33;25;73289902;31;9218241;10;74918567
74223;74;France;La Rivière-Enverse;26;2345679;85;77;59;26;2345679;23;7654321;18;20987654
74224;74;France;La Roche-sur-Foron;28;44189489;1537;993;1375;28;44189489;18;37527757;25;44411547
74225;74;France;Rumilly;25;56519266;1798;1836;1497;25;56519266;26;10550263;21;28536897
74226;74;France;Saint-André-de-Boëge;23;01980198;93;113;77;23;01980198;27;97029703;19;05940594
74228;74;France;Saint-Blaise;35;15981735;77;46;24;35;15981735;21;00456621;10;95890411
74229;74;France;Saint-Cergues;31;55761436;545;427;265;31;55761436;24;72495657;15;34452808
74231;74;France;Saint-Eusèbe;27;39361702;103;96;58;27;39361702;25;53191489;15;42553191
74232;74;France;Saint-Eustache;30;40935673;104;75;42;30;40935673;21;92982456;12;28070175
74233;74;France;Saint-Félix;24;94432071;336;401;232;24;94432071;29;76985895;17;22345954
74234;74;France;Saint-Ferréol;32;35800344;188;144;79;32;35800344;24;7848537;13;59724613
74235;74;France;Saint-Germain-sur-Rhône;23;1884058;80;102;52;23;1884058;29;56521739;15;07246377
74236;74;France;Saint-Gervais-les-Bains;31;69014085;1125;716;567;31;69014085;20;16901408;15;97183099
74237;74;France;Saint-Gingolph;38;36317136;150;70;69;38;36317136;17;9028133;17;64705882
74238;74;France;Saint-Jean-d'Aulps;29;88691438;185;105;113;29;88691438;16;9628433;18;2552504
74239;74;France;Saint-Jean-de-Sixt;33;51235231;312;166;115;33;51235231;17;83029001;12;35230934
74240;74;France;Saint-Jean-de-Tholome;26;05863192;160;149;115;26;05863192;24;26710098;18;72964169
74241;74;France;Saint-Jeoire;22;03011712;395;517;324;22;03011712;28;83435583;18;07027328
74242;74;France;Saint-Jorioz;37;8952336;1606;644;560;37;8952336;15;1958471;13;21378008
74243;74;France;Saint-Julien-en-Genevois;33;19327731;1817;773;1274;33;19327731;14;12130069;23;27365729
74244;74;France;Saint-Laurent;24;1187384;130;101;126;24;1187384;18;73840445;23;37662338
74249;74;France;Saint-Paul-en-Chablais;25;70332481;402;399;248;25;70332481;25;51150895;15;85677749
74250;74;France;Saint-Pierre-en-Faucigny;27;14932127;1020;1055;646;27;14932127;28;08091562;17;19457014
74252;74;France;Saint-Sigismond;28;13186813;128;92;99;28;13186813;20;21978022;21;75824176
74253;74;France;Saint-Sixt;28;88198758;186;110;130;28;88198758;17;08074534;20;1863354
74254;74;France;Saint-Sylvestre;31;71355499;124;74;46;31;71355499;18;9258312;11;76470588
74255;74;France;Sales;29;40287226;389;355;203;29;40287226;26;8329554;15;34391534
74256;74;France;Sallanches;30;52826894;2797;2095;1452;30;52826894;22;86618642;15;84806811
74257;74;France;Sallenôves;25;3493014;127;134;80;25;3493014;26;74650699;15;96806387
74258;74;France;Samoëns;33;82157124;508;257;242;33;82157124;17;11051931;16;11185087
74259;74;France;Le Sappey;23;07692308;63;68;41;23;07692308;24;90842491;15;01831502
74260;74;France;Savigny;30;34188034;142;83;89;30;34188034;17;73504274;19;01709402
74261;74;France;Saxel;26;49006623;80;77;57;26;49006623;25;49668874;18;87417219
74262;74;France;Scientrier;20;84690554;128;205;79;20;84690554;33;38762215;12;86644951
74263;74;France;Sciez;28;13758909;908;739;581;28;13758909;22;90052681;18;00433839
74264;74;France;Scionzier;21;29013596;736;1092;816;21;29013596;31;58808215;23;60428117
74265;74;France;Serraval;26;16407982;118;97;66;26;16407982;21;50776053;14;63414634
74266;74;France;Servoz;34;60264901;209;67;146;34;60264901;11;09271523;24;17218543
74267;74;France;Sevrier;39;19256877;1097;372;380;39;19256877;13;29046088;13;57627724
74269;74;France;Seyssel;22;56452956;271;377;230;22;56452956;31;39050791;19;15070774
74271;74;France;Seytroux;29;48717949;69;46;40;29;48717949;19;65811966;17;09401709
74272;74;France;Sillingy;31;51994725;956;769;430;31;51994725;25;35443455;14;17738213
74273;74;France;Sixt-Fer-à-Cheval;28;88015717;147;121;54;28;88015717;23;77210216;10;60903733
74275;74;France;Talloires-Montmin;36;77770224;541;231;209;36;77770224;15;70360299;14;20802175
74276;74;France;Taninges;26;77845528;527;471;396;26;77845528;23;93292683;20;12195122
74278;74;France;Thyez;28;88381201;885;787;470;28;88381201;25;68537859;15;33942559
74279;74;France;Thollon-les-Mémises;31;1827957;174;149;63;31;1827957;26;70250896;11;29032258
74280;74;France;Thônes;31;75026681;1190;737;579;31;75026681;19;6638207;15;44823906
74281;74;France;Thonon-les-Bains;29;48748942;4879;3108;3802;29;48748942;18;78399613;22;97836335
74282;74;France;Fillière;31;60180391;1892;1185;899;31;60180391;19;79288458;15;01586771
74283;74;France;Thusy;30;60029283;209;155;89;30;60029283;22;69399707;13;03074671
74284;74;France;La Tour;24;95606327;142;169;86;24;95606327;29;70123023;15;1142355
74285;74;France;Usinens;35;11450382;92;58;39;35;11450382;22;13740458;14;88549618
74286;74;France;Vacheresse;18;09701493;97;168;75;18;09701493;31;34328358;13;99253731
74287;74;France;Vailly;27;59924386;146;133;72;27;59924386;25;14177694;13;61058601
74288;74;France;Valleiry;28;88888889;533;436;287;28;88888889;23;63143631;15;55555556
74289;74;France;Vallières-sur-Fier;26;96046662;416;462;232;26;96046662;29;94167207;15;03564485
74290;74;France;Vallorcine;31;69014085;90;22;82;31;69014085;7;746478873;28;87323944
74291;74;France;Vanzy;19;23076923;35;58;38;19;23076923;31;86813187;20;87912088
74292;74;France;Vaulx;28;55029586;193;168;97;28;55029586;24;85207101;14;34911243
74293;74;France;Veigy-Foncenex;37;3486297;586;284;223;37;3486297;18;10070108;14;21287444
74294;74;France;Verchaix;28;15315315;125;101;83;28;15315315;22;74774775;18;69369369
74295;74;France;La Vernaz;24;85875706;44;42;42;24;85875706;23;72881356;23;72881356
74296;74;France;Vers;35;29411765;162;74;54;35;29411765;16;12200436;11;76470588
74297;74;France;Versonnex;23;04038005;97;116;63;23;04038005;27;55344418;14;96437055
74298;74;France;Vétraz-Monthoux;31;1440678;1176;743;740;31;1440678;19;67690678;19;59745763
74299;74;France;Veyrier-du-Lac;46;32117722;724;146;118;46;32117722;9;341010877;7;549584133
74301;74;France;Villard;22;61904762;114;101;110;22;61904762;20;03968254;21;82539683
74302;74;France;Les Villards-sur-Thônes;32;0441989;232;127;124;32;0441989;17;54143646;17;12707182
74303;74;France;Villaz;34;34526507;758;395;311;34;34526507;17;89759855;14;09152696
74304;74;France;Ville-en-Sallaz;19;76744186;102;143;104;19;76744186;27;71317829;20;15503876
74305;74;France;Ville-la-Grand;28;14125376;1028;669;887;28;14125376;18;31371475;24;28141254
74306;74;France;Villy-le-Bouveret;29;49640288;123;72;73;29;49640288;17;26618705;17;5059952
74307;74;France;Villy-le-Pelloux;33;87387387;188;93;93;33;87387387;16;75675676;16;75675676
74308;74;France;Vinzier;22;00357782;123;176;74;22;00357782;31;48479428;13;23792487
74309;74;France;Viry;29;62107209;641;390;429;29;62107209;18;02218115;19;82439926
74310;74;France;Viuz-la-Chiésaz;33;10344828;288;170;128;33;10344828;19;54022989;14;71264368
74311;74;France;Viuz-en-Sallaz;27;25549659;719;602;478;27;25549659;22;82031842;18;11978772
74312;74;France;Vougy;24;16267943;202;271;134;24;16267943;32;41626794;16;02870813
74313;74;France;Vovray-en-Bornes;30;02915452;103;64;58;30;02915452;18;65889213;16;90962099
74314;74;France;Vulbens;33;19892473;247;144;104;33;19892473;19;35483871;13;97849462
74315;74;France;Yvoire;33;27974277;207;88;135;33;27974277;14;14790997;21;70418006
